match_id,world_cup_year,host_country,date,stage,round_raw,group,team1,team2,halftime_score_team1,halftime_score_team2,fulltime_score_team1,fulltime_score_team2,extra_time_score_team1,extra_time_score_team2,penalty_score_team1,penalty_score_team2,winner,result_method,stadium,city,total_goals_team1,total_goals_team2
915,2022,Qatar,22 November 2022,Group Stage,Matchday 3,Group C,Switzerland,Poland,,,0,0,,,,,Draw,Draw,Stadium 974,Doha,0,0
916,2022,Qatar,26 November 2022,Group Stage,Matchday 7,Group C,Switzerland,Saudi Arabia,1,0,2,0,,,,,Poland,Normal Time,Education City Stadium,Al Rayyan,2,0
917,2022,Qatar,26 November 2022,Group Stage,Matchday 7,Group C,Switzerland,Mexico,0,0,2,0,,,,,Argentina,Normal Time,Lusail Iconic Stadium,Lusail,2,0
918,2022,Qatar,30 November 2022,Group Stage,Matchday 11,Group C,Switzerland,Argentina,0,0,0,2,,,,,Argentina,Normal Time,Stadium 974,Doha,0,2
919,2022,Qatar,30 November 2022,Group Stage,Matchday 11,Group C,Switzerland,Mexico,0,0,1,2,,,,,Mexico,Normal Time,Lusail Iconic Stadium,Lusail,1,2
920,2022,Qatar,22 November 2022,Group Stage,Matchday 3,Group D,Switzerland,Tunisia,,,0,0,,,,,Draw,Draw,Education City Stadium,Al Rayyan,0,0
921,2022,Qatar,22 November 2022,Group Stage,Matchday 3,Group D,Switzerland,Australia,2,1,4,1,,,,,France,Normal Time,Al Janoub Stadium,Al Wakrah,4,1
922,2022,Qatar,26 November 2022,Group Stage,Matchday 7,Group D,Switzerland,Australia,0,1,0,1,,,,,Australia,Normal Time,Al Janoub Stadium,Al Wakrah,0,1
923,2022,Qatar,26 November 2022,Group Stage,Matchday 7,Group D,Switzerland,Denmark,0,0,2,1,,,,,France,Normal Time,Stadium 974,Doha,2,1
924,2022,Qatar,30 November 2022,Group Stage,Matchday 11,Group D,Switzerland,Denmark,0,0,1,0,,,,,Australia,Normal Time,Al Janoub Stadium,Al Wakrah,1,0
925,2022,Qatar,30 November 2022,Group Stage,Matchday 11,Group D,Switzerland,France,0,0,1,0,,,,,Tunisia,Normal Time,Education City Stadium,Al Rayyan,1,0
926,2022,Qatar,23 November 2022,Group Stage,Matchday 4,Group E,Switzerland,Japan,1,0,1,2,,,,,Japan,Normal Time,Khalifa International Stadium,Al Rayyan,1,2
927,2022,Qatar,23 November 2022,Group Stage,Matchday 4,Group E,Switzerland,Costa Rica,3,0,7,0,,,,,Spain,Normal Time,Al Thumama Stadium,Doha,7,0
928,2022,Qatar,27 November 2022,Group Stage,Matchday 8,Group E,Switzerland,Costa Rica,0,0,0,1,,,,,Costa Rica,Normal Time,Ahmad bin Ali Stadium,Al Rayyan,0,1
929,2022,Qatar,27 November 2022,Group Stage,Matchday 8,Group E,Switzerland,Germany,0,0,1,1,,,,,Draw,Draw,Al Bayt Stadium,Al Khor,1,1
930,2022,Qatar,01 December 2022,Group Stage,Matchday 12,Group E,Switzerland,Spain,0,0,2,1,,,,,Japan,Normal Time,Khalifa International Stadium,Al Rayyan,2,1
931,2022,Qatar,01 December 2022,Group Stage,Matchday 12,Group E,Switzerland,Germany,0,1,2,4,,,,,Germany,Normal Time,Al Bayt Stadium,Al Khor,2,4
932,2022,Qatar,23 November 2022,Group Stage,Matchday 4,Group F,Switzerland,Croatia,,,0,0,,,,,Draw,Draw,Al Bayt Stadium,Al Khor,0,0
933,2022,Qatar,23 November 2022,Group Stage,Matchday 4,Group F,Togo,Canada,1,0,1,0,,,,,Belgium,Normal Time,Ahmad bin Ali Stadium,Al Rayyan,1,0
934,2022,Qatar,27 November 2022,Group Stage,Matchday 8,Group F,Togo,Morocco,0,0,0,2,,,,,Morocco,Normal Time,Al Thumama Stadium,Doha,0,2
935,2022,Qatar,27 November 2022,Group Stage,Matchday 8,Group F,Trinidad and Tobago,Canada,2,1,4,1,,,,,Croatia,Normal Time,Khalifa International Stadium,Al Rayyan,4,1
936,2022,Qatar,01 December 2022,Group Stage,Matchday 12,Group F,Tunisia,Belgium,,,0,0,,,,,Draw,Draw,Ahmad bin Ali Stadium,Al Rayyan,0,0
937,2022,Qatar,01 December 2022,Group Stage,Matchday 12,Group F,Tunisia,Morocco,1,2,1,2,,,,,Morocco,Normal Time,Al Thumama Stadium,Doha,0,2
938,2022,Qatar,24 November 2022,Group Stage,Matchday 5,Group G,Tunisia,Cameroon,0,0,1,0,,,,,Switzerland,Normal Time,Al Janoub Stadium,Al Wakrah,1,0
939,2022,Qatar,24 November 2022,Group Stage,Matchday 5,Group G,Tunisia,Serbia,0,0,2,0,,,,,Brazil,Normal Time,Lusail Iconic Stadium,Lusail,2,0
940,2022,Qatar,28 November 2022,Group Stage,Matchday 9,Group G,Tunisia,Serbia,1,2,3,3,,,,,Draw,Draw,Al Janoub Stadium,Al Wakrah,3,3
941,2022,Qatar,28 November 2022,Group Stage,Matchday 9,Group G,Tunisia,Switzerland,0,0,1,0,,,,,Brazil,Normal Time,Stadium 974,Doha,1,0
942,2022,Qatar,02 December 2022,Group Stage,Matchday 13,Group G,Tunisia,Switzerland,2,1,2,3,,,,,Switzerland,Normal Time,Stadium 974,Doha,2,3
943,2022,Qatar,02 December 2022,Group Stage,Matchday 13,Group G,Tunisia,Brazil,0,0,1,0,,,,,Cameroon,Normal Time,Lusail Iconic Stadium,Lusail,1,0
944,2022,Qatar,24 November 2022,Group Stage,Matchday 5,Group H,Tunisia,South Korea,,,0,0,,,,,Draw,Draw,Education City Stadium,Al Rayyan,0,0
945,2022,Qatar,24 November 2022,Group Stage,Matchday 5,Group H,Turkey,Ghana,0,0,3,2,,,,,Portugal,Normal Time,Stadium 974,Doha,3,2
946,2022,Qatar,28 November 2022,Group Stage,Matchday 9,Group H,Turkey,Ghana,0,2,2,3,,,,,Ghana,Normal Time,Education City Stadium,Al Rayyan,2,3
947,2022,Qatar,28 November 2022,Group Stage,Matchday 9,Group H,Turkey,Uruguay,0,0,2,0,,,,,Portugal,Normal Time,Lusail Iconic Stadium,Lusail,2,0
948,2022,Qatar,02 December 2022,Group Stage,Matchday 13,Group H,Turkey,Uruguay,,,0,2,,,,,Uruguay,Normal Time,Al Janoub Stadium,Al Wakrah,0,2
949,2022,Qatar,02 December 2022,Group Stage,Matchday 13,Group H,Ukraine,Portugal,1,1,2,1,,,,,South Korea,Normal Time,Lusail Iconic Stadium,Lusail,2,1
950,2022,Qatar,03 December 2022,Round of 16,Round of 16,,United Arab Emirates,USA,2,0,3,1,,,,,Netherlands,Normal Time,Khalifa International Stadium,Al Rayyan,3,1
951,2022,Qatar,03 December 2022,Round of 16,Round of 16,,United States,Australia,1,0,2,1,,,,,Argentina,Normal Time,Ahmad bin Ali Stadium,Al Rayyan,2,0
952,2022,Qatar,04 December 2022,Round of 16,Round of 16,,United States,Poland,1,0,3,1,,,,,France,Normal Time,Al Thumama Stadium,Doha,3,1
953,2022,Qatar,04 December 2022,Round of 16,Round of 16,,United States,Senegal,2,0,3,0,,,,,England,Normal Time,Al Bayt Stadium,Al Khor,3,0
954,2022,Qatar,05 December 2022,Round of 16,Round of 16,,United States,Croatia,1,0,1,1,1,1,1,3,Croatia,Penalties,Al Janoub Stadium,Al Wakrah,1,1
955,2022,Qatar,05 December 2022,Round of 16,Round of 16,,Uruguay,South Korea,4,0,4,1,,,,,Brazil,Normal Time,Stadium 974,Doha,4,1
956,2022,Qatar,06 December 2022,Round of 16,Round of 16,,Uruguay,Spain,0,0,0,0,0,0,3,0,Morocco,Penalties,Education City Stadium,Al Rayyan,0,0
957,2022,Qatar,06 December 2022,Round of 16,Round of 16,,Uruguay,Switzerland,2,0,6,1,,,,,Portugal,Normal Time,Lusail Iconic Stadium,Lusail,6,1
958,2022,Qatar,09 December 2022,Quarter-final,Quarter-finals,,Uruguay,Brazil,0,0,0,0,1,1,4,2,Croatia,Penalties,Education City Stadium,Al Rayyan,1,1
959,2022,Qatar,09 December 2022,Quarter-final,Quarter-finals,,Uruguay,Argentina,1,0,2,2,2,2,3,4,Argentina,Penalties,Lusail Iconic Stadium,Lusail,2,2
960,2022,Qatar,10 December 2022,Quarter-final,Quarter-finals,,Uruguay,Portugal,1,0,1,0,,,,,Morocco,Normal Time,Al Thumama Stadium,Doha,1,0
